,formula,band gap,band_gap_hse
172,Al2HgO4,1.346099999999999,2.938410997390747
173,Co2GeO4,0.0,0.0
174,Si(NiO2)2,3.576999999999999,5.292797565460205
175,Mn(FeO2)2,0.9977,2.992018461227417
176,Fe2SiO4,2.7099,4.464790344238281
177,Zn(AgO2)2,0.0,0.0
178,Al(CoO2)2,0.0,0.0
179,Y(FeO2)2,0.0,0.0
180,Na2WO4,4.752099999999999,6.290782451629639
181,Cd(RhO2)2,0.8366999999999991,2.5701613426208496
182,MgMn2O4,0.082999999999999,2.173953056335449
183,Mn2AlO4,0.0,0.0
184,CaV2O4,0.0,0.0
185,Ca(SnO2)2,0.0,0.0
186,Mg(AgO2)2,0.0,0.0
187,YTi2O4,0.0,0.0
188,Mn2ZnO4,0.0,0.0
189,Ca(FeO2)2,1.7361,3.5412349700927734
190,Mg(CuO2)2,0.0,0.0
191,Co2SiO4,0.0,0.0
192,MgV2O4,0.0,0.0
193,Cd(FeO2)2,1.8272,3.561553955078125
194,Cr2HgO4,1.2575,2.7511982917785645
195,AlV2O4,0.0,0.0
196,CdIn2O4,0.9137,2.4376537799835205
197,V2FeO4,0.0,0.0
198,Cr2FeO4,0.0,0.0
199,Cr2CdO4,1.8327,3.44045352935791
200,Ag2MoO4,1.873099999999999,3.14634370803833
201,Zn(FeO2)2,1.6686,3.4888675212860107
202,V2ZnO4,0.0,0.0
203,Cr2NiO4,0.0,0.0
204,LiV2O4,0.0,0.0
205,Ni(RhO2)2,0.0,0.0
206,MgCr2O4,3.139,4.7726850509643555
207,V2CdO4,0.0,0.0
208,Na2MoO4,4.3983,5.686585426330566
209,ZnCr2O4,0.0,0.0
210,Cr2CoO4,2.606,4.187648296356201
211,Y(NiO2)2,0.0,0.0
212,Ca(AgO2)2,0.0,0.0
213,DyMn2O4,0.0,0.0
214,Ti2ZnO4,0.0,0.0
215,Ca(BiO2)2,1.787599999999999,2.6261229515075684
216,Mg(SbO2)2,1.1013,1.7392023801803589
217,Co2NiO4,0.0,0.0
218,CaTi2O4,0.0,0.0
219,Zn(BiO2)2,0.397699999999999,1.3236312866210938
220,Zn(IrO2)2,0.323599999999999,1.7534263134002686
221,Mg(WO2)2,1.209099999999999,2.724573850631714
222,Zn(WO2)2,0.7082,2.225343704223633
223,Mg(MoO2)2,2.2975,3.8176393508911133
224,Zn(SbO2)2,0.0388,0.7483577132225037
225,Ca(WO2)2,1.5984,3.006406784057617
226,Ca(MoO2)2,2.3071,3.7837343215942383
227,Mg(SnO2)2,0.0,0.0
228,Ca(SbO2)2,1.0224,1.661312222480774
229,Zn(SnO2)2,0.0,0.0
230,Y(CuO2)2,0.0,0.0
231,Mg(BiO2)2,1.5627,2.3294806480407715
232,Zn2SnO4,0.422399999999999,1.8411086797714233
233,Ca(CoO2)2,2.292,4.045346736907959
234,Ca(CuO2)2,0.0,0.0
235,Al(CuO2)2,0.0,0.0
236,Zn(MoO2)2,0.0,0.0
237,Zn(CuO2)2,0.0,0.0
238,Ti2AlO4,0.0,0.0
239,Mg(NiO2)2,0.0,0.0
240,Cd2SnO4,0.244999999999999,1.744467854499817
241,Al(SnO2)2,0.0,0.0
242,CaCr2O4,2.0955,3.6888632774353027
243,Mn(CoO2)2,0.0,0.0
244,Nd2PdO4,0.0,0.0
245,Y2PdO4,0.0,0.0
246,Pr2PdO4,0.0,0.0
247,La2EuO4,0.0,0.0
248,CaTm2O4,4.2171,5.889148235321045
249,Ca(NiO2)2,0.0,0.0
250,Fe2GeO4,1.407699999999999,3.0286178588867188
251,Zn2PdO4,0.0,0.0
252,LiMn2O4,0.0,0.0
253,V2SiO4,0.6219,2.1277830600738525
254,Co(NiO2)2,0.0,0.0
255,SrSc2O4,3.503999999999999,5.135592937469482
256,Mg2CoO4,0.7214,2.8835058212280273
257,In2HgO4,0.1462,1.7055284976959229
258,CaY2O4,4.1546,5.756527900695801
259,VCr2O4,0.0,0.0
260,Fe2HgO4,1.1461,2.7311363220214844
261,CaGd2O4,3.26,4.900476455688477
262,Gd2CdO4,0.0,0.0
263,SrNd2O4,3.6022,5.226320743560791
264,NaTi2O4,0.0,0.0
265,Zn(CoO2)2,0.0,0.0
266,Ga2CuO4,0.0,0.0
267,Fe2CoO4,1.5511,3.3328769207000732
268,Al2NiO4,3.3947,5.110469341278076
269,Co2HgO4,0.0,0.0
270,Fe(NiO2)2,0.0,0.0
271,SrSm2O4,3.8076,5.410995960235596
272,SrLa2O4,3.788,5.387441158294678
273,NaMn2O4,0.0,0.0
274,V2CoO4,0.0,0.0
275,SrLu2O4,3.5547,5.079367637634277
276,LiAg2F4,0.0,0.0
277,NaV2O4,0.040799999999999,1.4089863300323486
278,Cu(NiO2)2,0.0,0.0
279,ZnIn2O4,1.179099999999999,2.820258140563965
280,CaSm2O4,3.8425,5.4934563636779785
281,Mg(CoO2)2,0.0,0.0
282,BaLa2O4,3.7033,5.269241809844971
283,Na(SnO2)2,0.0,0.0
284,Y2HgO4,1.2172,2.748757839202881
285,Ga2HgO4,0.5638000000000001,1.8534060716629028
286,NaCr2O4,0.0,0.0
287,CaTb2O4,3.871799999999999,5.545949935913086
288,EuY2O4,0.390299999999999,1.9269006252288818
289,MnAl2O4,2.6578,4.540410041809082
290,Mg(FeO2)2,0.0,0.0
291,Zn(GaO2)2,2.310499999999999,3.9646859169006348
292,LiTi2O4,0.0,0.0
293,Mg(RhO2)2,1.1521,3.0653634071350098
294,Mg2VO4,0.0,0.0
295,Mn2NiO4,0.0,0.0
296,Al2FeO4,0.0,0.0
297,Al2ZnO4,3.845999999999999,5.544143199920654
298,Li(MoO2)2,0.0,0.0
299,MnCr2O4,2.2026,3.796013832092285
300,Cd(GaO2)2,1.5793,3.1443092823028564
301,Li(CuO2)2,0.0,0.0
302,Li(NiO2)2,0.0,0.0
303,Li(CoO2)2,0.0,0.0
304,Fe2NiO4,0.0,0.0
305,Li(FeO2)2,0.0,0.0
306,CaIn2O4,2.020799999999999,3.6324424743652344
307,Al2CuO4,0.0,0.0
308,Ni2GeO4,2.1356,3.7592687606811523
309,MgTi2O4,0.0,0.0
310,Co2CuO4,0.0,0.0
311,MgAl2O4,5.1095,6.797067642211914
312,MnV2O4,0.0,0.0
313,Mg2SiO4,4.7454,6.428586006164551
314,Ti2MnO4,0.0,0.0
315,Zn2SiO4,2.3636,3.9805312156677246
316,Cd2SiO4,1.0232,2.5928118228912354
317,Mn(RhO2)2,0.9305,2.8729875087738037
318,Co(RhO2)2,0.0,0.0
319,Zn(RhO2)2,0.9323999999999992,2.874236583709717
320,Mn2CuO4,0.0,0.0
321,Al(FeO2)2,0.0,0.0
322,Mg(GaO2)2,3.2804,4.915858745574951
323,Li(WO2)2,0.0,0.0
324,Cr2CuO4,0.0,0.0
325,Cu(RhO2)2,0.0,0.0
326,Mg2GeO4,3.0734,4.775081634521484
327,Al2CdO4,2.676,4.467347145080566
328,Al2CoO4,3.0024,4.766809463500977
329,MnIn2O4,0.8588000000000001,2.49688982963562
330,Na(FeO2)2,0.0,0.0
331,Li2MnF4,3.9042,6.801604747772217
